komentar;cleaning;tokenize;normalize;stopword
Air terjun yang bagus. Tiket masuk murah sekitar 5 ribu per orang. Air terjunnya jernih, dan langsung berseberangan dengan laut.;Air terjun yang bagus Tiket masuk murah sekitar ribu per orang Air terjunnya jernih dan langsung berseberangan dengan laut;['air', 'terjun', 'yang', 'bagus', 'tiket', 'masuk', 'murah', 'sekitar', 'ribu', 'per', 'orang', 'air', 'terjunnya', 'jernih', 'dan', 'langsung', 'berseberangan', 'dengan', 'laut'];['air', 'terjun', 'yang', 'bagus', 'tiket', 'masuk', 'murah', 'sekitar', 'ribu', 'per', 'orang', 'air', 'terjunnya', 'jernih', 'dan', 'langsung', 'berseberangan', 'dengan', 'laut'];['air', 'terjun', 'bagus', 'tiket', 'masuk', 'murah', 'ribu', 'orang', 'air', 'terjunnya', 'jernih', 'langsung', 'berseberangan', 'laut']
"Tempatnya bagus selain air terjun ,diatasnya jg ada rest area.
parkir 5rb masuk 5rb (hari biasa)";Tempatnya bagus selain air terjun diatasnya jg ada rest area parkir rb masuk rb hari biasa;['tempatnya', 'bagus', 'selain', 'air', 'terjun', 'diatasnya', 'jg', 'ada', 'rest', 'area', 'parkir', 'rb', 'masuk', 'rb', 'hari', 'biasa'];['tempatnya', 'bagus', 'selain', 'air', 'terjun', 'diatasnya', 'juga', 'ada', 'rest', 'area', 'parkir', 'ribu', 'masuk', 'ribu', 'hari', 'biasa'];['tempatnya', 'bagus', 'air', 'terjun', 'diatasnya', 'rest', 'area', 'parkir', 'ribu', 'masuk', 'ribu']
Bagus;Bagus;['bagus'];['bagus'];['bagus']
Mantap;Mantap;['mantap'];['mantap'];['mantap']
Pemandangan yg indah, adem pula suasanyanya meskipun pinggir laut. Cuman air terjunya hanya ada ketika musim hujan;Pemandangan yg indah adem pula suasanyanya meskipun pinggir laut Cuman air terjunya hanya ada ketika musim hujan;['pemandangan', 'yg', 'indah', 'adem', 'pula', 'suasanyanya', 'meskipun', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'hanya', 'ada', 'ketika', 'musim', 'hujan'];['pemandangan', 'yang', 'indah', 'adem', 'pula', 'suasanyanya', 'meskipun', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'hanya', 'ada', 'ketika', 'musim', 'hujan'];['pemandangan', 'indah', 'adem', 'suasanyanya', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'musim', 'hujan']
tempat wisata yg keren dan recomended bgt buat dikunjungi, apalagi kuliner dan es degannya yg bner2 bisa buat kita move on dari mantan?? …;tempat wisata yg keren dan recomended bgt buat dikunjungi apalagi kuliner dan es degannya yg bner bisa buat kita move on dari mantan;['tempat', 'wisata', 'yg', 'keren', 'dan', 'recomended', 'bgt', 'buat', 'dikunjungi', 'apalagi', 'kuliner', 'dan', 'es', 'degannya', 'yg', 'bner', 'bisa', 'buat', 'kita', 'move', 'on', 'dari', 'mantan'];['tempat', 'wisata', 'yang', 'keren', 'dan', 'recomended', 'banget', 'buat', 'dikunjungi', 'apalagi', 'kuliner', 'dan', 'es', 'degannya', 'yang', 'benar', 'bisa', 'buat', 'kita', 'move', 'on', 'dari', 'mantan'];['wisata', 'keren', 'recomended', 'banget', 'dikunjungi', 'kuliner', 'es', 'degannya', 'move', 'on', 'mantan']
Ada restorannya, harga murah, rasa pas aja poin 7. Hati2 ke lokasi air terjunnya, jalan agak licin dusim hujan.;Ada restorannya harga murah rasa pas aja poin Hati ke lokasi air terjunnya jalan agak licin dusim hujan;['ada', 'restorannya', 'harga', 'murah', 'rasa', 'pas', 'aja', 'poin', 'hati', 'ke', 'lokasi', 'air', 'terjunnya', 'jalan', 'agak', 'licin', 'dusim', 'hujan'];['ada', 'restorannya', 'harga', 'murah', 'rasa', 'pas', 'saja', 'poin', 'hati', 'ke', 'lokasi', 'air', 'terjunnya', 'jalan', 'agak', 'licin', 'dusim', 'hujan'];['restorannya', 'harga', 'murah', 'pas', 'poin', 'hati', 'lokasi', 'air', 'terjunnya', 'jalan', 'licin', 'dusim', 'hujan']
Karena habis hujan jadi airnya keruh;Karena habis hujan jadi airnya keruh;['karena', 'habis', 'hujan', 'jadi', 'airnya', 'keruh'];['karena', 'habis', 'hujan', 'jadi', 'airnya', 'keruh'];['habis', 'hujan', 'airnya', 'keruh']
Terpantau masih seperti dulu ?? …;Terpantau masih seperti dulu;['terpantau', 'masih', 'seperti', 'dulu'];['terpantau', 'masih', 'seperti', 'dulu'];['terpantau']
Pemandangan eksotis pinggir laut;Pemandangan eksotis pinggir laut;['pemandangan', 'eksotis', 'pinggir', 'laut'];['pemandangan', 'eksotis', 'pinggir', 'laut'];['pemandangan', 'eksotis', 'pinggir', 'laut']
Oke;Oke;['oke'];['oke'];['oke']
Indah sekali.. Tempatnya bersih dan sudah dikelola dengan baik. Kesini sewaktu musim kemarau, aliran air terjunnya cukup deras dan benar2 berwarna tosca ??. Ada cafe ATT yang menyediakan berbagai menu masakan dengan view pantai yang indah, …;Indah sekali Tempatnya bersih dan sudah dikelola dengan baik Kesini sewaktu musim kemarau aliran air terjunnya cukup deras dan benar berwarna tosca Ada cafe ATT yang menyediakan berbagai menu masakan dengan view pantai yang indah;['indah', 'sekali', 'tempatnya', 'bersih', 'dan', 'sudah', 'dikelola', 'dengan', 'baik', 'kesini', 'sewaktu', 'musim', 'kemarau', 'aliran', 'air', 'terjunnya', 'cukup', 'deras', 'dan', 'benar', 'berwarna', 'tosca', 'ada', 'cafe', 'att', 'yang', 'menyediakan', 'berbagai', 'menu', 'masakan', 'dengan', 'view', 'pantai', 'yang', 'indah'];['indah', 'sekali', 'tempatnya', 'bersih', 'dan', 'sudah', 'dikelola', 'dengan', 'baik', 'kesini', 'sewaktu', 'musim', 'kemarau', 'aliran', 'air', 'terjunnya', 'cukup', 'deras', 'dan', 'benar', 'berwarna', 'tosca', 'ada', 'cafe', 'att', 'yang', 'menyediakan', 'berbagai', 'menu', 'masakan', 'dengan', 'view', 'pantai', 'yang', 'indah'];['indah', 'tempatnya', 'bersih', 'dikelola', 'kesini', 'musim', 'kemarau', 'aliran', 'air', 'terjunnya', 'deras', 'berwarna', 'tosca', 'cafe', 'att', 'menyediakan', 'menu', 'masakan', 'view', 'pantai', 'indah']
Bagussss banget... lokasi nya dari sampang kota sekitar 1.5 jam di tempuh dg mobil. Tiket masuk cuma 5rb/org. Parkir mobil 5rb. Deket sama tempat makan view nya juga bagus. Makanan nya juga enak. Rekomendasi ikan bakar, sama ikan bumbu 3 …;Bagussss banget lokasi nya dari sampang kota sekitar jam di tempuh dg mobil Tiket masuk cuma rborg Parkir mobil rb Deket sama tempat makan view nya juga bagus Makanan nya juga enak Rekomendasi ikan bakar sama ikan bumbu;['bagussss', 'banget', 'lokasi', 'nya', 'dari', 'sampang', 'kota', 'sekitar', 'jam', 'di', 'tempuh', 'dg', 'mobil', 'tiket', 'masuk', 'cuma', 'rborg', 'parkir', 'mobil', 'rb', 'deket', 'sama', 'tempat', 'makan', 'view', 'nya', 'juga', 'bagus', 'makanan', 'nya', 'juga', 'enak', 'rekomendasi', 'ikan', 'bakar', 'sama', 'ikan', 'bumbu'];['bagus', 'banget', 'lokasi', 'nya', 'dari', 'sampang', 'kota', 'sekitar', 'jam', 'di', 'tempuh', 'dengan', 'mobil', 'tiket', 'masuk', 'cuma', 'rborg', 'parkir', 'mobil', 'ribu', 'dekat', 'sama', 'tempat', 'makan', 'view', 'nya', 'juga', 'bagus', 'makanan', 'nya', 'juga', 'enak', 'rekomendasi', 'ikan', 'bakar', 'sama', 'ikan', 'bumbu'];['bagus', 'banget', 'lokasi', 'sampang', 'kota', 'jam', 'tempuh', 'mobil', 'tiket', 'masuk', 'rborg', 'parkir', 'mobil', 'ribu', 'makan', 'view', 'bagus', 'makanan', 'enak', 'rekomendasi', 'ikan', 'bakar', 'ikan', 'bumbu']
untuk view air terjunnya bagus sekalii;untuk view air terjunnya bagus sekalii;['untuk', 'view', 'air', 'terjunnya', 'bagus', 'sekalii'];['untuk', 'view', 'air', 'terjunnya', 'bagus', 'sekali'];['view', 'air', 'terjunnya', 'bagus']
View nya bagus sekali apalagi pas sowrey² ???? …;View nya bagus sekali apalagi pas sowrey;['view', 'nya', 'bagus', 'sekali', 'apalagi', 'pas', 'sowrey'];['view', 'nya', 'bagus', 'sekali', 'apalagi', 'pas', 'sowrey'];['view', 'bagus', 'pas', 'sowrey']
Spot lokasi wisata yang wajib kita kunjung ketika berkunjung ke pulau Madura;Spot lokasi wisata yang wajib kita kunjung ketika berkunjung ke pulau Madura;['spot', 'lokasi', 'wisata', 'yang', 'wajib', 'kita', 'kunjung', 'ketika', 'berkunjung', 'ke', 'pulau', 'madura'];['spot', 'lokasi', 'wisata', 'yang', 'wajib', 'kita', 'kunjung', 'ketika', 'berkunjung', 'ke', 'pulau', 'madura'];['spot', 'lokasi', 'wisata', 'wajib', 'kunjung', 'berkunjung', 'pulau', 'madura']
Desa Karang Anyar  Bangkit;Desa Karang Anyar Bangkit;['desa', 'karang', 'anyar', 'bangkit'];['desa', 'karang', 'anyar', 'bangkit'];['desa', 'karang', 'anyar', 'bangkit']
2/6/21. Pemandangan di sini bagus karena memadukan air terjun dan laut. Harga tiket masuknya murah, 5k/orang. Tapi perawatan dan pengembangannya kurang. Banyak sampah. Harga parkir juga agak mahal untuk ukuran wisata yang hanya satu obyek, 5k/motor R2. Kalau ada yang mau ditanya, silakan. Jangan lupa like juga.;Pemandangan di sini bagus karena memadukan air terjun dan laut Harga tiket masuknya murah korang Tapi perawatan dan pengembangannya kurang Banyak sampah Harga parkir juga agak mahal untuk ukuran wisata yang hanya satu obyek kmotor R Kalau ada yang mau ditanya silakan Jangan lupa like juga;['pemandangan', 'di', 'sini', 'bagus', 'karena', 'memadukan', 'air', 'terjun', 'dan', 'laut', 'harga', 'tiket', 'masuknya', 'murah', 'korang', 'tapi', 'perawatan', 'dan', 'pengembangannya', 'kurang', 'banyak', 'sampah', 'harga', 'parkir', 'juga', 'agak', 'mahal', 'untuk', 'ukuran', 'wisata', 'yang', 'hanya', 'satu', 'obyek', 'kmotor', 'r', 'kalau', 'ada', 'yang', 'mau', 'ditanya', 'silakan', 'jangan', 'lupa', 'like', 'juga'];['pemandangan', 'di', 'sini', 'bagus', 'karena', 'memadukan', 'air', 'terjun', 'dan', 'laut', 'harga', 'tiket', 'masuknya', 'murah', 'korang', 'tapi', 'perawatan', 'dan', 'pengembangannya', 'kurang', 'banyak', 'sampah', 'harga', 'parkir', 'juga', 'agak', 'mahal', 'untuk', 'ukuran', 'wisata', 'yang', 'hanya', 'satu', 'obyek', 'kmotor', 'r', 'kalau', 'ada', 'yang', 'mau', 'ditanya', 'silakan', 'jangan', 'lupa', 'like', 'juga'];['pemandangan', 'bagus', 'memadukan', 'air', 'terjun', 'laut', 'harga', 'tiket', 'masuknya', 'murah', 'korang', 'perawatan', 'pengembangannya', 'sampah', 'harga', 'parkir', 'mahal', 'ukuran', 'wisata', 'obyek', 'kmotor', 'r', 'silakan', 'lupa', 'like']
"07 november 2020
Unik jg air terjun di pinggir laut
Saran saya kalau ingin lihat airnya bagus jernih berkunjung kesini pas musim …";november Unik jg air terjun di pinggir laut Saran saya kalau ingin lihat airnya bagus jernih berkunjung kesini pas musim;['november', 'unik', 'jg', 'air', 'terjun', 'di', 'pinggir', 'laut', 'saran', 'saya', 'kalau', 'ingin', 'lihat', 'airnya', 'bagus', 'jernih', 'berkunjung', 'kesini', 'pas', 'musim'];['november', 'unik', 'juga', 'air', 'terjun', 'di', 'pinggir', 'laut', 'saran', 'saya', 'kalau', 'ingin', 'lihat', 'airnya', 'bagus', 'jernih', 'berkunjung', 'kesini', 'pas', 'musim'];['november', 'unik', 'air', 'terjun', 'pinggir', 'laut', 'saran', 'lihat', 'airnya', 'bagus', 'jernih', 'berkunjung', 'kesini', 'pas', 'musim']
"Wisata air terjun toroan...
Airnya sungai langsung terjun ke laut...
Tempatnya terawat dan bagus dilihatnya... …";Wisata air terjun toroan Airnya sungai langsung terjun ke laut Tempatnya terawat dan bagus dilihatnya;['wisata', 'air', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'ke', 'laut', 'tempatnya', 'terawat', 'dan', 'bagus', 'dilihatnya'];['wisata', 'air', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'ke', 'laut', 'tempatnya', 'terawat', 'dan', 'bagus', 'dilihatnya'];['wisata', 'air', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'laut', 'tempatnya', 'terawat', 'bagus', 'dilihatnya']
Air terjun yang indah dan langsung jatuh di tepi pantai utara Pulau Madura;Air terjun yang indah dan langsung jatuh di tepi pantai utara Pulau Madura;['air', 'terjun', 'yang', 'indah', 'dan', 'langsung', 'jatuh', 'di', 'tepi', 'pantai', 'utara', 'pulau', 'madura'];['air', 'terjun', 'yang', 'indah', 'dan', 'langsung', 'jatuh', 'di', 'tepi', 'pantai', 'utara', 'pulau', 'madura'];['air', 'terjun', 'indah', 'langsung', 'jatuh', 'tepi', 'pantai', 'utara', 'pulau', 'madura']
Viewnya bagus, tempatnya jg nyaman buat family time. Makanannya jg enaak;Viewnya bagus tempatnya jg nyaman buat family time Makanannya jg enaak;['viewnya', 'bagus', 'tempatnya', 'jg', 'nyaman', 'buat', 'family', 'time', 'makanannya', 'jg', 'enaak'];['viewnya', 'bagus', 'tempatnya', 'juga', 'nyaman', 'buat', 'family', 'time', 'makanannya', 'juga', 'enaak'];['viewnya', 'bagus', 'tempatnya', 'nyaman', 'family', 'time', 'makanannya', 'enaak']
Tempatnya bagus gaes y, apalagi klo lgi bukan musim penghujan,,, klo lgi musim hujan airnya coklat gk bening gaesss...;Tempatnya bagus gaes y apalagi klo lgi bukan musim penghujan klo lgi musim hujan airnya coklat gk bening gaesss;['tempatnya', 'bagus', 'gaes', 'y', 'apalagi', 'klo', 'lgi', 'bukan', 'musim', 'penghujan', 'klo', 'lgi', 'musim', 'hujan', 'airnya', 'coklat', 'gk', 'bening', 'gaesss'];['tempatnya', 'bagus', 'gaes', 'ya', 'apalagi', 'kalo', 'lagi', 'bukan', 'musim', 'penghujan', 'kalo', 'lagi', 'musim', 'hujan', 'airnya', 'coklat', 'enggak', 'bening', 'gaesss'];['tempatnya', 'bagus', 'gaes', 'musim', 'penghujan', 'musim', 'hujan', 'airnya', 'coklat', 'bening', 'gaesss']
Bagusss sekali... tapi tetap hal yang perlu di perbaiki adalah sampah.. mari kurangi penggunaan plastik. Thanks;Bagusss sekali tapi tetap hal yang perlu di perbaiki adalah sampah mari kurangi penggunaan plastik Thanks;['bagusss', 'sekali', 'tapi', 'tetap', 'hal', 'yang', 'perlu', 'di', 'perbaiki', 'adalah', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik', 'thanks'];['bagus', 'sekali', 'tapi', 'tetap', 'hal', 'yang', 'perlu', 'di', 'perbaiki', 'adalah', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik', 'thanks'];['bagus', 'perbaiki', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik', 'thanks']
Tempat santai bersama  kelurga dan kerabat. Dengan nuasa alam yang sangat indah dipandang..;Tempat santai bersama kelurga dan kerabat Dengan nuasa alam yang sangat indah dipandang;['tempat', 'santai', 'bersama', 'kelurga', 'dan', 'kerabat', 'dengan', 'nuasa', 'alam', 'yang', 'sangat', 'indah', 'dipandang'];['tempat', 'santai', 'bersama', 'kelurga', 'dan', 'kerabat', 'dengan', 'nuasa', 'alam', 'yang', 'sangat', 'indah', 'dipandang'];['santai', 'kelurga', 'kerabat', 'nuasa', 'alam', 'indah', 'dipandang']
"Tempat Yang Indah....??????
Tapi Kebersihan Sedikit Perlu/Kurang Terjaga...?????? …";Tempat Yang Indah Tapi Kebersihan Sedikit PerluKurang Terjaga;['tempat', 'yang', 'indah', 'tapi', 'kebersihan', 'sedikit', 'perlukurang', 'terjaga'];['tempat', 'yang', 'indah', 'tapi', 'kebersihan', 'sedikit', 'perlukurang', 'terjaga'];['indah', 'kebersihan', 'perlukurang', 'terjaga']
Pastikan klo mo kesini pas air lgi pasang, lebih keren.;Pastikan klo mo kesini pas air lgi pasang lebih keren;['pastikan', 'klo', 'mo', 'kesini', 'pas', 'air', 'lgi', 'pasang', 'lebih', 'keren'];['pastikan', 'kalo', 'mau', 'kesini', 'pas', 'air', 'lagi', 'pasang', 'lebih', 'keren'];['pastikan', 'kesini', 'pas', 'air', 'pasang', 'keren']
tempatnya bagus...cocok untuk wisata keluarga;tempatnya baguscocok untuk wisata keluarga;['tempatnya', 'baguscocok', 'untuk', 'wisata', 'keluarga'];['tempatnya', 'baguscocok', 'untuk', 'wisata', 'keluarga'];['tempatnya', 'baguscocok', 'wisata', 'keluarga']
Sangat indah, dan cocok banget bagi para wisatawan yang ingin memanjakan mata untuk melihat pemandangan yang sangat indah, karena air terjunnya beda bukan di pegunungan tapi di tepi pantai.;Sangat indah dan cocok banget bagi para wisatawan yang ingin memanjakan mata untuk melihat pemandangan yang sangat indah karena air terjunnya beda bukan di pegunungan tapi di tepi pantai;['sangat', 'indah', 'dan', 'cocok', 'banget', 'bagi', 'para', 'wisatawan', 'yang', 'ingin', 'memanjakan', 'mata', 'untuk', 'melihat', 'pemandangan', 'yang', 'sangat', 'indah', 'karena', 'air', 'terjunnya', 'beda', 'bukan', 'di', 'pegunungan', 'tapi', 'di', 'tepi', 'pantai'];['sangat', 'indah', 'dan', 'cocok', 'banget', 'bagi', 'para', 'wisatawan', 'yang', 'ingin', 'memanjakan', 'mata', 'untuk', 'melihat', 'pemandangan', 'yang', 'sangat', 'indah', 'karena', 'air', 'terjunnya', 'beda', 'bukan', 'di', 'pegunungan', 'tapi', 'di', 'tepi', 'pantai'];['indah', 'cocok', 'banget', 'wisatawan', 'memanjakan', 'mata', 'pemandangan', 'indah', 'air', 'terjunnya', 'beda', 'pegunungan', 'tepi', 'pantai']
Bagus viewnya, hanya saja tulisan Toroan nya yg dibuat terlalu dekat dengan air terjun, untuj fotografer yg ingin capture air terjun jadi terganggu dengan icon tulisan itu, toilet tersedia;Bagus viewnya hanya saja tulisan Toroan nya yg dibuat terlalu dekat dengan air terjun untuj fotografer yg ingin capture air terjun jadi terganggu dengan icon tulisan itu toilet tersedia;['bagus', 'viewnya', 'hanya', 'saja', 'tulisan', 'toroan', 'nya', 'yg', 'dibuat', 'terlalu', 'dekat', 'dengan', 'air', 'terjun', 'untuj', 'fotografer', 'yg', 'ingin', 'capture', 'air', 'terjun', 'jadi', 'terganggu', 'dengan', 'icon', 'tulisan', 'itu', 'toilet', 'tersedia'];['bagus', 'viewnya', 'hanya', 'saja', 'tulisan', 'toroan', 'nya', 'yang', 'dibuat', 'terlalu', 'dekat', 'dengan', 'air', 'terjun', 'untuj', 'fotografer', 'yang', 'ingin', 'capture', 'air', 'terjun', 'jadi', 'terganggu', 'dengan', 'icon', 'tulisan', 'itu', 'toilet', 'tersedia'];['bagus', 'viewnya', 'tulisan', 'toroan', 'air', 'terjun', 'untuj', 'fotografer', 'capture', 'air', 'terjun', 'terganggu', 'icon', 'tulisan', 'toilet', 'tersedia']
Emang tak s alami n sbagus yg dulu tp ttp eksotik n nyaman buat bersantai..tiket masuk 5 rb k lokasi air terjun...;Emang tak s alami n sbagus yg dulu tp ttp eksotik n nyaman buat bersantaitiket masuk rb k lokasi air terjun;['emang', 'tak', 's', 'alami', 'n', 'sbagus', 'yg', 'dulu', 'tp', 'ttp', 'eksotik', 'n', 'nyaman', 'buat', 'bersantaitiket', 'masuk', 'rb', 'k', 'lokasi', 'air', 'terjun'];['memang', 'tak', 'si', 'alami', 'n', 'sbagus', 'yang', 'dulu', 'tapi', 'tetap', 'eksotik', 'n', 'nyaman', 'buat', 'bersantaitiket', 'masuk', 'ribu', 'ke', 'lokasi', 'air', 'terjun'];['alami', 'sbagus', 'eksotik', 'nyaman', 'bersantaitiket', 'masuk', 'ribu', 'lokasi', 'air', 'terjun']
Mungkin saya datang di waktu yang salah, karena waktu kesana tempatnya tidak sebagus ekspektasi saya. Juga disana tidak disarankan untuk bermain air, sehingga hanya sekedar objek foto saja;Mungkin saya datang di waktu yang salah karena waktu kesana tempatnya tidak sebagus ekspektasi saya Juga disana tidak disarankan untuk bermain air sehingga hanya sekedar objek foto saja;['mungkin', 'saya', 'datang', 'di', 'waktu', 'yang', 'salah', 'karena', 'waktu', 'kesana', 'tempatnya', 'tidak', 'sebagus', 'ekspektasi', 'saya', 'juga', 'disana', 'tidak', 'disarankan', 'untuk', 'bermain', 'air', 'sehingga', 'hanya', 'sekedar', 'objek', 'foto', 'saja'];['mungkin', 'saya', 'datang', 'di', 'waktu', 'yang', 'salah', 'karena', 'waktu', 'kesana', 'tempatnya', 'tidak', 'sebagus', 'ekspektasi', 'saya', 'juga', 'disana', 'tidak', 'disarankan', 'untuk', 'bermain', 'air', 'sehingga', 'hanya', 'sekedar', 'objek', 'foto', 'saja'];['salah', 'kesana', 'tempatnya', 'sebagus', 'ekspektasi', 'disana', 'disarankan', 'bermain', 'air', 'sekedar', 'objek', 'foto']
Air terjun toroan adalan wisata alam Madura yg sangat bagus, namun masih sangat memerlukan sentuhan tangan pofesional dan investor utk pengembangannya yg lebih bagus lagi.;Air terjun toroan adalan wisata alam Madura yg sangat bagus namun masih sangat memerlukan sentuhan tangan pofesional dan investor utk pengembangannya yg lebih bagus lagi;['air', 'terjun', 'toroan', 'adalan', 'wisata', 'alam', 'madura', 'yg', 'sangat', 'bagus', 'namun', 'masih', 'sangat', 'memerlukan', 'sentuhan', 'tangan', 'pofesional', 'dan', 'investor', 'utk', 'pengembangannya', 'yg', 'lebih', 'bagus', 'lagi'];['air', 'terjun', 'toroan', 'adalan', 'wisata', 'alam', 'madura', 'yang', 'sangat', 'bagus', 'namun', 'masih', 'sangat', 'memerlukan', 'sentuhan', 'tangan', 'pofesional', 'dan', 'investor', 'untuk', 'pengembangannya', 'yang', 'lebih', 'bagus', 'lagi'];['air', 'terjun', 'toroan', 'adalan', 'wisata', 'alam', 'madura', 'bagus', 'sentuhan', 'tangan', 'pofesional', 'investor', 'pengembangannya', 'bagus']
Bagus buat selfi alami dgn latar airterjun yg keren. Jangan berenang krn dalam sekali;Bagus buat selfi alami dgn latar airterjun yg keren Jangan berenang krn dalam sekali;['bagus', 'buat', 'selfi', 'alami', 'dgn', 'latar', 'airterjun', 'yg', 'keren', 'jangan', 'berenang', 'krn', 'dalam', 'sekali'];['bagus', 'buat', 'selfi', 'alami', 'dengan', 'latar', 'airterjun', 'yang', 'keren', 'jangan', 'berenang', 'karena', 'dalam', 'sekali'];['bagus', 'selfi', 'alami', 'latar', 'airterjun', 'keren', 'berenang']
"View nya indah menawan ...
Sayang kurang perawatan .....
Berharap kedepannya air terjun Toroan ini dirawat dengan baik,oleh pemkab maupun  swasta asli daerah.";View nya indah menawan Sayang kurang perawatan Berharap kedepannya air terjun Toroan ini dirawat dengan baikoleh pemkab maupun swasta asli daerah;['view', 'nya', 'indah', 'menawan', 'sayang', 'kurang', 'perawatan', 'berharap', 'kedepannya', 'air', 'terjun', 'toroan', 'ini', 'dirawat', 'dengan', 'baikoleh', 'pemkab', 'maupun', 'swasta', 'asli', 'daerah'];['view', 'nya', 'indah', 'menawan', 'sayang', 'kurang', 'perawatan', 'berharap', 'kedepannya', 'air', 'terjun', 'toroan', 'ini', 'dirawat', 'dengan', 'baikoleh', 'pemkab', 'maupun', 'swasta', 'asli', 'daerah'];['view', 'indah', 'menawan', 'sayang', 'perawatan', 'berharap', 'kedepannya', 'air', 'terjun', 'toroan', 'dirawat', 'baikoleh', 'pemkab', 'swasta', 'asli', 'daerah']
Bagus viewnya, sayang sedikit kebersihan air dan pantainya kurang terjaga.;Bagus viewnya sayang sedikit kebersihan air dan pantainya kurang terjaga;['bagus', 'viewnya', 'sayang', 'sedikit', 'kebersihan', 'air', 'dan', 'pantainya', 'kurang', 'terjaga'];['bagus', 'viewnya', 'sayang', 'sedikit', 'kebersihan', 'air', 'dan', 'pantainya', 'kurang', 'terjaga'];['bagus', 'viewnya', 'sayang', 'kebersihan', 'air', 'pantainya', 'terjaga']
Harusnya bisa lebih bagus & menarik sayangnya banyak sampah di pantai & air terjunnya;Harusnya bisa lebih bagus menarik sayangnya banyak sampah di pantai air terjunnya;['harusnya', 'bisa', 'lebih', 'bagus', 'menarik', 'sayangnya', 'banyak', 'sampah', 'di', 'pantai', 'air', 'terjunnya'];['harusnya', 'bisa', 'lebih', 'bagus', 'menarik', 'sayangnya', 'banyak', 'sampah', 'di', 'pantai', 'air', 'terjunnya'];['bagus', 'menarik', 'sayangnya', 'sampah', 'pantai', 'air', 'terjunnya']
Panoramanya bagus,  perlu kreativitas utk penambahan area di pantai dan penambahan fasilitas;Panoramanya bagus perlu kreativitas utk penambahan area di pantai dan penambahan fasilitas;['panoramanya', 'bagus', 'perlu', 'kreativitas', 'utk', 'penambahan', 'area', 'di', 'pantai', 'dan', 'penambahan', 'fasilitas'];['panoramanya', 'bagus', 'perlu', 'kreativitas', 'untuk', 'penambahan', 'area', 'di', 'pantai', 'dan', 'penambahan', 'fasilitas'];['panoramanya', 'bagus', 'kreativitas', 'penambahan', 'area', 'pantai', 'penambahan', 'fasilitas']
Bagus banget buat spot foto instagram. Obyeknya bagus & unik;Bagus banget buat spot foto instagram Obyeknya bagus unik;['bagus', 'banget', 'buat', 'spot', 'foto', 'instagram', 'obyeknya', 'bagus', 'unik'];['bagus', 'banget', 'buat', 'spot', 'foto', 'instagram', 'obyeknya', 'bagus', 'unik'];['bagus', 'banget', 'spot', 'foto', 'instagram', 'obyeknya', 'bagus', 'unik']
Bagus langsung menjorok ke lautan;Bagus langsung menjorok ke lautan;['bagus', 'langsung', 'menjorok', 'ke', 'lautan'];['bagus', 'langsung', 'menjorok', 'ke', 'lautan'];['bagus', 'langsung', 'menjorok', 'lautan']
Cukup bagus, bisa untuk tempat foto prewedding.;Cukup bagus bisa untuk tempat foto prewedding;['cukup', 'bagus', 'bisa', 'untuk', 'tempat', 'foto', 'prewedding'];['cukup', 'bagus', 'bisa', 'untuk', 'tempat', 'foto', 'prewedding'];['bagus', 'foto', 'prewedding']
Akan terasa lebih indah ketika menjelang matahari terbenam.;Akan terasa lebih indah ketika menjelang matahari terbenam;['akan', 'terasa', 'lebih', 'indah', 'ketika', 'menjelang', 'matahari', 'terbenam'];['akan', 'terasa', 'lebih', 'indah', 'ketika', 'menjelang', 'matahari', 'terbenam'];['indah', 'menjelang', 'matahari', 'terbenam']
"Cantik ... eksotis
Air terjun air tawar langsung didepan ombak pantai...";Cantik eksotis Air terjun air tawar langsung didepan ombak pantai;['cantik', 'eksotis', 'air', 'terjun', 'air', 'tawar', 'langsung', 'didepan', 'ombak', 'pantai'];['cantik', 'eksotis', 'air', 'terjun', 'air', 'tawar', 'langsung', 'didepan', 'ombak', 'pantai'];['cantik', 'eksotis', 'air', 'terjun', 'air', 'tawar', 'langsung', 'didepan', 'ombak', 'pantai']
Keindahan air terjun yang mengalirr , so beautyfull;Keindahan air terjun yang mengalirr so beautyfull;['keindahan', 'air', 'terjun', 'yang', 'mengalirr', 'so', 'beautyfull'];['keindahan', 'air', 'terjun', 'yang', 'mengalirr', 'sok', 'beautyfull'];['keindahan', 'air', 'terjun', 'mengalirr', 'sok', 'beautyfull']
Bagus;Bagus;['bagus'];['bagus'];['bagus']
Bagus musim kemarau airnya bening;Bagus musim kemarau airnya bening;['bagus', 'musim', 'kemarau', 'airnya', 'bening'];['bagus', 'musim', 'kemarau', 'airnya', 'bening'];['bagus', 'musim', 'kemarau', 'airnya', 'bening']
